family,year,quantity,unit,source_title,source_url,locator
Fisheries / Marine,1987,74048955.72,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1987."
Fisheries / Marine,1988,77334205.2,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1988."
Fisheries / Marine,1989,78086506.13,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1989."
Fisheries / Marine,1990,75279109.32,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1990."
Fisheries / Marine,1991,75200542.49,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1991."
Fisheries / Marine,1992,85890535.43,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1992."
Fisheries / Marine,1993,87200500.45,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1993."
Fisheries / Marine,1994,92858972.52,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1994."
Fisheries / Marine,1995,92879654.82,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1995."
Fisheries / Marine,1996,94578276.89,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1996."
Fisheries / Marine,1997,93952919.26,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1997."
Fisheries / Marine,1998,86329086.02,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1998."
